family_id,company,title,postings,countries,open_to_colombia,min_years,english_level,pay_usd_hour_max,pay_usd_year_max,first_published,last_published,url
7619d51d4ad0,Scale AI,Software Engineer - New Grad,3,GB|QA|US,False,,,,,2026-09-04,2026-09-14,https://job-boards.greenhouse.io/scaleai/jobs/4730862005
2e88fa2c14a1,Scale AI,"Software Engineer, ARC Team",1,US,False,,,,,2026-03-16,2026-03-16,https://job-boards.greenhouse.io/scaleai/jobs/4673771005
58f0d35f7b2e,Scale AI,"Software Engineer, Enterprise",1,GB,False,4,,,,2025-03-04,2025-03-04,https://job-boards.greenhouse.io/scaleai/jobs/4536653005
b550c122efdb,Scale AI,"Software Engineer, Enterprise AI",1,US,False,4,,,,2025-01-07,2025-01-07,https://job-boards.greenhouse.io/scaleai/jobs/4513943005
39428452d57d,Scale AI,"Software Engineer, Frontier AI Infrastructure",1,US,False,,,,,2024-02-15,2024-02-15,https://job-boards.greenhouse.io/scaleai/jobs/4363623005
5c4ef7dada41,Scale AI,"Software Engineer, Identity",1,US,False,3,,,,2026-06-30,2026-06-30,https://job-boards.greenhouse.io/scaleai/jobs/4710484005
cf3aa0be69dc,Scale AI,"Software Engineer, Platform",2,GB|US,False,5,,,,2025-08-21,2026-09-09,https://job-boards.greenhouse.io/scaleai/jobs/4594879005
e00844bfacda,Scale AI,"Software Engineer, Public Sector",1,US,False,,,,,2023-08-06,2023-08-06,https://job-boards.greenhouse.io/scaleai/jobs/4302243005
131c2cb7cfa2,Scale AI,"Software Engineer, Public Sector - New Grad",1,US,False,,,,,2026-09-23,2026-09-23,https://job-boards.greenhouse.io/scaleai/jobs/4736426005
8f5e41da48f2,Scale AI,"Software Engineer, Robotics",1,AR|UY,False,6,,,,2025-12-30,2025-12-30,https://job-boards.greenhouse.io/scaleai/jobs/4612282005
560d46ffe696,Scale AI,Software Engineering Intern (Summer 2027),3,GB|QA|US,False,,,,,2026-09-04,2026-09-14,https://job-boards.greenhouse.io/scaleai/jobs/4730846005
6ce399648d2d,Scale AI,"Software Engineering Manager, Public Sector",1,US,False,5,,,,2026-07-14,2026-07-14,https://job-boards.greenhouse.io/scaleai/jobs/4715325005
7bd442ae52b7,Scale AI,Solutions Engineer (Clearance Required),1,US,False,,,,,2026-02-17,2026-02-17,https://job-boards.greenhouse.io/scaleai/jobs/4663481005
57e12b0cf60a,Scale AI,"Solutions Engineer, Enterprise",2,GB|US,False,,,,,2025-04-22,2025-12-29,https://job-boards.greenhouse.io/scaleai/jobs/4642876005
682256cafc2e,Scale AI,"Solutions Engineering Lead, Consumer",1,US,False,,,,,2026-09-17,2026-09-17,https://job-boards.greenhouse.io/scaleai/jobs/4735196005
d05581ba6a15,Scale AI,"Solutions Engineering Lead, Healthcare & Life Sciences",1,US,False,,,,,2026-09-17,2026-09-17,https://job-boards.greenhouse.io/scaleai/jobs/4735192005
